id,temp,hum,gas,hpa,date,time
5b232e23c178c75dfcb3ffe0,26,63,139,987,15.6.2018,06:10:27
5b2331a8c178c75dfcb3ffe1,26,63,139,987,15.6.2018,06:25:28
5b23352dc178c75dfcb3ffe2,26,63,140,987,15.6.2018,06:40:29
5b2338b2c178c75dfcb3ffe3,27,63,139,987,15.6.2018,06:55:30
5b233c37c178c75dfcb3ffe4,27,63,137,987,15.6.2018,07:10:31
5b233fbbc178c75dfcb3ffe5,27,63,135,987,15.6.2018,07:25:31
5b234340c178c75dfcb3ffe6,27,63,133,987,15.6.2018,07:40:32
5b2346c5c178c75dfcb3ffe7,27,62,131,987,15.6.2018,07:55:33
5b234a49c178c75dfcb3ffe8,27,63,127,987,15.6.2018,08:10:33
5b234dcec178c75dfcb3ffe9,27,62,123,987,15.6.2018,08:25:34
5b235153c178c75dfcb3ffea,27,62,121,988,15.6.2018,08:40:35
5b2354d8c178c75dfcb3ffeb,27,62,122,988,15.6.2018,08:55:36
5b23585dc178c75dfcb3ffec,27,61,126,988,15.6.2018,09:10:37
5b235be2c178c75dfcb3ffed,27,60,129,987,15.6.2018,09:25:38
5b235f66c178c75dfcb3ffee,27,60,82,987,15.6.2018,09:40:38
5b2362ebc178c75dfcb3ffef,27,59,80,987,15.6.2018,09:55:39
5b236670c178c75dfcb3fff0,27,59,100,987,15.6.2018,10:10:40
5b2369f4c178c75dfcb3fff1,27,59,113,987,15.6.2018,10:25:40
5b236d79c178c75dfcb3fff2,27,59,117,987,15.6.2018,10:40:41
5b2370fec178c75dfcb3fff3,27,58,120,987,15.6.2018,10:55:42
5b237483c178c75dfcb3fff4,27,58,124,987,15.6.2018,11:10:43
5b237807c178c75dfcb3fff5,27,57,127,987,15.6.2018,11:25:43
5b237b8fc178c75dfcb3fff6,27,56,131,987,15.6.2018,11:40:47
5b237f14c178c75dfcb3fff7,27,56,131,987,15.6.2018,11:55:48
5b238299c178c75dfcb3fff8,27,55,131,987,15.6.2018,12:10:49
5b23861ec178c75dfcb3fff9,27,55,132,987,15.6.2018,12:25:50
5b2389a3c178c75dfcb3fffa,27,54,133,987,15.6.2018,12:40:51
5b238d28c178c75dfcb3fffb,27,54,133,987,15.6.2018,12:55:52
5b2390adc178c75dfcb3fffc,27,54,134,987,15.6.2018,13:10:53
5b239432c178c75dfcb3fffd,27,54,135,987,15.6.2018,13:25:54
5b2397b6c178c75dfcb3fffe,27,54,133,987,15.6.2018,13:40:54
5b239b3bc178c75dfcb3ffff,27,54,133,987,15.6.2018,13:55:55
5b239ec0c178c75dfcb40000,27,53,136,987,15.6.2018,14:10:56
5b23a245c178c75dfcb40001,27,52,136,987,15.6.2018,14:25:57
5b23a5c9c178c75dfcb40002,27,52,136,987,15.6.2018,14:40:57
5b23a94ec178c75dfcb40003,27,50,148,987,15.6.2018,14:55:58
5b23acd3c178c75dfcb40004,27,51,148,987,15.6.2018,15:10:59
5b23b058c178c75dfcb40005,27,55,150,987,15.6.2018,15:26:00
5b23b3ddc178c75dfcb40006,27,58,154,987,15.6.2018,15:41:01
5b23b761c178c75dfcb40007,27,59,153,987,15.6.2018,15:56:01
5b23bae6c178c75dfcb40008,27,59,149,987,15.6.2018,16:11:02
5b23be6bc178c75dfcb40009,27,59,149,987,15.6.2018,16:26:03
5b23c1f0c178c75dfcb4000a,27,61,153,987,15.6.2018,16:41:04
5b23c575c178c75dfcb4000b,27,61,152,987,15.6.2018,16:56:05
5b23c8f9c178c75dfcb4000c,27,61,146,987,15.6.2018,17:11:05
5b23cc7ec178c75dfcb4000d,27,61,153,987,15.6.2018,17:26:06
5b23d003c178c75dfcb4000e,27,61,146,987,15.6.2018,17:41:07
5b23d388c178c75dfcb4000f,27,62,149,987,15.6.2018,17:56:08
5b23d70dc178c75dfcb40010,27,61,139,987,15.6.2018,18:11:09
5b23da91c178c75dfcb40011,27,61,133,987,15.6.2018,18:26:09
5b23de16c178c75dfcb40012,27,61,129,987,15.6.2018,18:41:10
5b23e19bc178c75dfcb40013,27,61,129,987,15.6.2018,18:56:11
5b23e520c178c75dfcb40014,27,62,130,987,15.6.2018,19:11:12
5b23e8a5c178c75dfcb40015,27,62,132,987,15.6.2018,19:26:13
5b23ec2ac178c75dfcb40016,27,62,134,987,15.6.2018,19:41:14
5b23efaec178c75dfcb40017,27,63,134,987,15.6.2018,19:56:14
5b23f333c178c75dfcb40018,27,63,133,987,15.6.2018,20:11:15
5b23f6b17567a302f3285bea,27,63,129,987,15.6.2018,20:26:09
5b23fa3e7567a302f3285beb,27,63,133,988,15.6.2018,20:41:18
5b23fdc27567a302f3285bec,27,62,132,988,15.6.2018,20:56:18
5b2401477567a302f3285bed,27,62,134,988,15.6.2018,21:11:19
5b2404ce7567a302f3285bee,27,61,135,988,15.6.2018,21:26:22
5b2408537567a302f3285bef,27,60,136,988,15.6.2018,21:41:23
5b240bd87567a302f3285bf0,27,60,136,988,15.6.2018,21:56:24
5b240f5d7567a302f3285bf1,27,60,135,988,15.6.2018,22:11:25
5b2412e27567a302f3285bf2,27,60,138,989,15.6.2018,22:26:26
5b24166705bdcb02fd3dcf28,27,59,137,989,15.6.2018,22:41:27
5b2419ec05bdcb02fd3dcf29,27,59,138,989,15.6.2018,22:56:28
5b241d7005bdcb02fd3dcf2a,27,59,140,989,15.6.2018,23:11:28
5b2420f505bdcb02fd3dcf2b,27,58,139,989,15.6.2018,23:26:29
5b24247a05bdcb02fd3dcf2c,27,58,139,989,15.6.2018,23:41:30
5b2427ff05bdcb02fd3dcf2d,27,58,139,989,15.6.2018,23:56:31
5b242b8405bdcb02fd3dcf2e,27,59,134,990,16.6.2018,00:11:32
5b242f0905bdcb02fd3dcf2f,27,59,130,990,16.6.2018,00:26:33
5b24328d05bdcb02fd3dcf30,27,61,127,989,16.6.2018,00:41:33
5b24361205bdcb02fd3dcf31,27,59,129,989,16.6.2018,00:56:34
5b24399705bdcb02fd3dcf32,27,57,137,989,16.6.2018,01:11:35
5b243d1c05bdcb02fd3dcf33,27,58,135,988,16.6.2018,01:26:36
5b2440a105bdcb02fd3dcf34,27,56,139,989,16.6.2018,01:41:37
5b24442505bdcb02fd3dcf35,27,57,135,989,16.6.2018,01:56:37
5b2447aa05bdcb02fd3dcf36,27,56,135,989,16.6.2018,02:11:38
5b244b3105bdcb02fd3dcf37,27,53,146,989,16.6.2018,02:26:41
5b244eb605bdcb02fd3dcf38,27,54,139,989,16.6.2018,02:41:42
5b24523b05bdcb02fd3dcf39,27,53,142,989,16.6.2018,02:56:43
5b2455c005bdcb02fd3dcf3a,27,52,150,989,16.6.2018,03:11:44
5b24594505bdcb02fd3dcf3b,27,52,148,989,16.6.2018,03:26:45
5b245cc905bdcb02fd3dcf3c,27,52,153,989,16.6.2018,03:41:45
5b24604e05bdcb02fd3dcf3d,27,53,147,989,16.6.2018,03:56:46
5b2463d305bdcb02fd3dcf3e,27,54,140,988,16.6.2018,04:11:47
5b24675805bdcb02fd3dcf3f,27,53,144,988,16.6.2018,04:26:48
5b246add05bdcb02fd3dcf40,27,53,146,988,16.6.2018,04:41:49
5b246e6105bdcb02fd3dcf41,27,53,146,988,16.6.2018,04:56:49
